destination_name,country,state_or_region,destination_type,budget_level,avg_trip_cost_inr,recommended_duration_days,rating,best_season,suitable_for,activities,popularity_score
Goa (North Goa),India,Goa,Beach,Medium,42000,6,4.8,Oct-Mar,"Honeymoon, Couple, Friends","Seafood tasting, Water sports, Jet skiing, Sunset cruise, Beach parties",86
Goa (South Goa),India,Goa,Beach,Medium,20500,3,4.8,Oct-Mar,"Friends, Family, Honeymoon, Couple","Sunset cruise, Parasailing, Scuba diving, Snorkeling",89
Gokarna,India,Karnataka,Beach,Medium,32000,6,4.5,Oct-Mar,"Couple, Friends, Honeymoon, Family","Beach parties, Jet skiing, Scuba diving, Seafood tasting",61
Varkala,India,Kerala,Beach,Medium,32000,6,4.3,Oct-Mar,"Family, Friends","Jet skiing, Island hopping, Sunset cruise, Snorkeling, Sunbathing, Scuba diving",63
Kovalam,India,Kerala,Beach,Medium,32000,6,4.0,Oct-Mar,"Couple, Friends, Family, Honeymoon","Sunset cruise, Island hopping, Snorkeling, Parasailing, Water sports, Scuba diving",78
Alibaug,India,Maharashtra,Beach,Medium,32000,6,4.5,Oct-Mar,"Couple, Friends, Honeymoon","Parasailing, Beach parties, Seafood tasting, Sunset cruise, Jet skiing, Water sports",69
Tarkarli,India,Maharashtra,Beach,Low,21000,5,3.5,Oct-Mar,"Friends, Family","Snorkeling, Seafood tasting, Sunbathing, Parasailing",51
Diu,India,Daman and Diu,Beach,Medium,18000,3,4.1,Oct-Mar,"Couple, Honeymoon, Friends, Family","Scuba diving, Snorkeling, Sunbathing, Seafood tasting, Water sports",36
Digha,India,West Bengal,Beach,Medium,31500,6,3.7,Oct-Mar,"Friends, Honeymoon","Scuba diving, Water sports, Seafood tasting, Jet skiing",30
Marari Beach,India,Kerala,Beach,Medium,17500,4,3.5,Oct-Mar,"Couple, Family, Friends","Sunset cruise, Jet skiing, Scuba diving, Beach parties, Water sports, Seafood tasting",27
Havelock Island,India,Andaman and Nicobar Islands,Beach,Medium,30000,4,4.3,Oct-Mar,"Couple, Friends","Parasailing, Scuba diving, Sunset cruise, Snorkeling, Seafood tasting",69
Neil Island,India,Andaman and Nicobar Islands,Beach,Low,21000,5,3.7,Oct-Mar,"Honeymoon, Couple, Family","Jet skiing, Parasailing, Island hopping, Beach parties",50
Port Blair,India,Andaman and Nicobar Islands,Beach,Low,22500,5,4.0,Oct-Mar,"Family, Friends, Couple, Honeymoon","Island hopping, Sunbathing, Seafood tasting, Scuba diving",67
